code,pnl
SH603530,-0.05
SZ300153,-0.05
SH603098,-0.05
SH601330,-0.05
SH603983,-0.05
SZ300468,-0.05
SZ300552,-0.05
SH603960,-0.05
SZ300005,-0.05
SH603214,-0.04
SH603990,-0.04
SZ300040,-0.04
SH603159,-0.04
SH601222,-0.04
SZ002455,-0.04
SZ300720,-0.04
SZ300581,-0.04
SZ300828,-0.04
SH603220,-0.04
SH603698,-0.04
SZ300688,-0.04
SH603353,-0.04
SH600338,-0.04
SZ300252,-0.04
SH603358,-0.04
SH600521,-0.03
SH603223,-0.03
SH603383,-0.03
SZ300690,-0.03
SZ000966,-0.03
SZ300339,-0.03
SH603477,-0.03
SZ300461,-0.02
SZ300265,-0.02
SZ300183,-0.02
SH600771,-0.02
SH603031,-0.02
SZ300570,-0.02
SZ300350,-0.02
SZ002911,-0.02
SZ300610,-0.02
SH603138,-0.02
SZ300488,-0.02
SH600238,-0.01
SZ300821,-0.01
SH601139,-0.01
SH603393,-0.01
SZ300556,-0.01
SZ300462,-0.01
SH603922,-0.01
SZ300758,-0.01
SH603665,-0.01
SZ300382,-0.01
SZ002248,-0.01
SZ300343,-0.01
SH600841,-0.01
SH603038,-0.01
SH600532,0.0
SZ300631,0.0
SH603076,0.0
SH603025,0.0
SZ300737,0.0
SZ002959,0.0
SH600917,0.0
SH600793,0.0
SZ300435,0.0
SH603826,0.0
SH603719,0.0
SZ002669,0.0
SH603989,0.01
SH600216,0.01
SZ000027,0.01
SZ300831,0.01
SZ300702,0.01
SZ000968,0.01
SH600674,0.01
SZ300800,0.02
SH603088,0.02
SZ300225,0.02
SH603988,0.02
SZ300062,0.02
SZ002350,0.02
SH600821,0.02
SH600223,0.02
SZ300491,0.02
SH603040,0.02
SZ300052,0.02
SZ300540,0.03
SZ300421,0.03
SH603080,0.03
SH600163,0.03
SH603822,0.03
SH600483,0.03
SZ300656,0.03
SZ300483,0.03
SH601001,0.03
SZ300479,0.03
SZ300815,0.03
