dtm_in,stock,direction,dtm_out,hold_period,method_out,price_in,price_out
2021-02-18 09:41:18,SH600000,short,2021-02-18 09:47:48,26,short_reverse,10.88,10.76
2021-02-18 09:47:48,SH600000,long,2021-02-18 10:27:18,158,long_reverse,10.76,10.95
2021-02-18 10:27:18,SH600000,short,2021-02-18 10:35:03,31,short_reverse,10.95,10.91
2021-02-18 10:35:03,SH600000,long,2021-02-18 10:52:18,69,long_reverse,10.91,10.98
2021-02-18 10:52:18,SH600000,short,2021-02-18 13:00:18,152,short_reverse,10.98,10.83
2021-02-18 13:00:18,SH600000,long,2021-02-18 13:27:48,110,long_reverse,10.83,10.85
2021-02-18 13:27:48,SH600000,short,2021-02-18 13:57:03,117,short_reverse,10.85,10.79
2021-02-18 13:57:03,SH600000,long,2021-02-18 14:32:48,143,long_reverse,10.79,10.81
2021-02-18 14:32:48,SH600000,short,2021-02-18 14:42:33,39,short_reverse,10.81,10.81
2021-02-18 14:42:33,SH600000,long,2021-02-18 14:47:03,18,long_reverse,10.81,10.83
2021-02-18 14:47:03,SH600000,short,2021-02-18 14:55:03,32,short_end,10.83,10.84
2021-02-19 09:59:18,SH600000,short,2021-02-19 10:36:18,148,short_reverse,11.07,11.0
2021-02-19 10:36:18,SH600000,long,2021-02-19 11:02:48,106,long_reverse,11.0,11.07
2021-02-19 11:02:48,SH600000,short,2021-02-19 11:23:18,82,short_reverse,11.07,10.98
2021-02-19 11:23:18,SH600000,long,2021-02-19 13:00:18,28,long_reverse,10.98,11.0
2021-02-19 13:00:18,SH600000,short,2021-02-19 13:13:33,53,short_reverse,11.0,10.97
2021-02-19 13:13:33,SH600000,long,2021-02-19 13:25:48,49,long_reverse,10.97,10.98
2021-02-19 13:25:48,SH600000,short,2021-02-19 13:47:18,86,short_reverse,10.98,10.92
2021-02-19 13:47:18,SH600000,long,2021-02-19 13:59:18,48,long_reverse,10.92,10.96
2021-02-19 13:59:18,SH600000,short,2021-02-19 14:15:18,64,short_reverse,10.96,10.93
2021-02-19 14:15:18,SH600000,long,2021-02-19 14:20:33,21,long_reverse,10.93,10.95
2021-02-19 14:20:33,SH600000,short,2021-02-19 14:35:18,59,short_reverse,10.95,10.94
2021-02-19 14:35:18,SH600000,long,2021-02-19 14:42:03,27,long_reverse,10.94,10.95
2021-02-19 14:42:03,SH600000,short,2021-02-19 14:55:03,52,short_end,10.95,10.95
2021-02-22 09:40:48,SH600000,long,2021-02-22 10:23:03,169,long_reverse,10.79,10.84
2021-02-22 10:23:03,SH600000,short,2021-02-22 10:47:48,99,short_reverse,10.84,10.74
2021-02-22 10:47:48,SH600000,long,2021-02-22 11:05:48,72,long_reverse,10.74,10.82
2021-02-22 11:05:48,SH600000,short,2021-02-22 11:16:48,44,short_reverse,10.82,10.79
2021-02-22 11:16:48,SH600000,long,2021-02-22 13:00:18,54,long_reverse,10.79,10.81
2021-02-22 13:00:18,SH600000,short,2021-02-22 13:08:33,33,short_reverse,10.81,10.77
2021-02-22 13:08:33,SH600000,long,2021-02-22 13:26:03,70,long_reverse,10.77,10.82
2021-02-22 13:26:03,SH600000,short,2021-02-22 13:52:48,107,short_reverse,10.82,10.75
2021-02-22 13:52:48,SH600000,long,2021-02-22 14:13:48,84,long_reverse,10.75,10.77
2021-02-22 14:13:48,SH600000,short,2021-02-22 14:26:33,51,short_reverse,10.77,10.71
2021-02-22 14:26:33,SH600000,long,2021-02-22 14:41:48,61,long_reverse,10.71,10.76
2021-02-22 14:41:48,SH600000,short,2021-02-22 14:55:03,53,short_end,10.76,10.72
2021-02-23 09:41:03,SH600000,short,2021-02-23 09:47:48,27,short_reverse,10.82,10.74
