localtime,time,symbol,signal,signal_sim,SameFlag
09:30:00.218363945,09:30:00.000000000,sh603988,6.567239999999999,6.567239999999999,1
09:30:03.221485854,09:30:03.000000000,sh603988,277.152,277.152,1
09:30:06.206605255,09:30:06.000000000,sh603988,76.1234,76.1234,1
09:30:09.217967114,09:30:09.000000000,sh603988,44.5711,44.5711,1
09:30:12.203879655,09:30:12.000000000,sh603988,47.93899999999999,47.93899999999999,1
09:30:15.216595013,09:30:15.000000000,sh603988,15.6362,15.6362,1
09:30:18.212261787,09:30:18.000000000,sh603988,14.0797,14.0797,1
09:30:21.213847197,09:30:21.000000000,sh603988,13.6939,13.6939,1
09:30:24.213967348,09:30:24.000000000,sh603988,1.85171,1.85171,1
09:30:27.213116038,09:30:27.000000000,sh603988,-1.5245,-1.5245,1
09:30:30.206616201,09:30:30.000000000,sh603988,12.3567,12.3567,1
09:30:33.207328214,09:30:33.000000000,sh603988,3.01004,3.01004,1
09:30:36.204863632,09:30:36.000000000,sh603988,7.813160000000001,7.813160000000001,1
09:30:39.215083836,09:30:39.000000000,sh603988,-5.55801,-5.55801,1
09:30:42.207903755,09:30:42.000000000,sh603988,-3.46424,-3.46424,1
09:30:45.217086833,09:30:45.000000000,sh603988,-2.50894,-2.50894,1
09:30:48.202939602,09:30:48.000000000,sh603988,0.73768,0.73768,1
09:30:51.210177630,09:30:51.000000000,sh603988,-16.202,-16.202,1
09:30:54.217114299,09:30:54.000000000,sh603988,-16.5813,-16.5813,1
09:30:56.994033577,09:30:56.000000000,sh603988,-18.4658,-18.4658,1
09:30:59.994768602,09:30:59.000000000,sh603988,-12.0626,-12.0626,1
09:31:02.992822255,09:31:02.000000000,sh603988,-7.858619999999998,-7.858619999999998,1
09:31:05.566348343,09:31:05.000000000,sh603988,-7.1368800000000014,-7.1368800000000014,1
09:31:08.566707959,09:31:08.000000000,sh603988,-2.8519400000000004,-2.8519400000000004,1
09:31:11.567945455,09:31:11.000000000,sh603988,-8.83948,-8.83948,1
09:31:14.570287872,09:31:14.000000000,sh603988,16.4704,16.4704,1
09:31:17.579010169,09:31:17.000000000,sh603988,-1.35512,-1.35512,1
09:31:20.580869554,09:31:20.000000000,sh603988,-4.41654,-4.41654,1
09:31:23.568658433,09:31:23.000000000,sh603988,11.0449,11.0449,1
09:31:26.564261916,09:31:26.000000000,sh603988,12.3087,12.3087,1
09:31:29.571347349,09:31:29.000000000,sh603988,16.5075,16.5075,1
09:31:32.568491752,09:31:32.000000000,sh603988,7.27646,7.27646,1
09:31:35.564766338,09:31:35.000000000,sh603988,12.7838,12.7838,1
09:31:38.578309918,09:31:38.000000000,sh603988,13.4937,13.4937,1
09:31:41.575102178,09:31:41.000000000,sh603988,19.9373,19.9373,1
09:31:44.571774267,09:31:44.000000000,sh603988,17.7306,17.7306,1
09:31:47.575256729,09:31:47.000000000,sh603988,27.3764,27.3764,1
09:31:50.570695592,09:31:50.000000000,sh603988,28.0642,28.0642,1
09:31:53.567542865,09:31:53.000000000,sh603988,46.828,46.828,1
09:31:56.578148518,09:31:56.000000000,sh603988,45.94300000000001,45.94300000000001,1
09:31:59.231191880,09:31:59.000000000,sh603988,29.0177,29.0177,1
09:32:01.984637890,09:32:01.000000000,sh603988,27.9427,27.9427,1
09:32:04.829411156,09:32:04.000000000,sh603988,19.2598,19.2598,1
09:32:07.830101796,09:32:07.000000000,sh603988,27.5893,27.5893,1
09:32:10.832860315,09:32:10.000000000,sh603988,19.5837,19.5837,1
09:32:13.541969226,09:32:13.000000000,sh603988,-2.44566,-2.44566,1
09:32:16.551390222,09:32:16.000000000,sh603988,7.93791,7.93791,1
09:32:19.554651686,09:32:19.000000000,sh603988,-2.93367,-2.93367,1
09:32:22.554148685,09:32:22.000000000,sh603988,-9.02546,-9.02546,1
09:32:25.546454026,09:32:25.000000000,sh603988,-7.40623,-7.40623,1
09:32:28.539291580,09:32:28.000000000,sh603988,-4.03412,-4.03412,1
09:32:31.540029388,09:32:31.000000000,sh603988,3.78995,3.78995,1
09:32:34.552974714,09:32:34.000000000,sh603988,8.37575,8.37575,1
09:32:37.551246807,09:32:37.000000000,sh603988,11.9641,11.9641,1
09:32:40.543553553,09:32:40.000000000,sh603988,4.81746,4.81746,1
09:32:43.550711974,09:32:43.000000000,sh603988,8.415289999999999,8.415289999999999,1
09:32:46.543326547,09:32:46.000000000,sh603988,9.56621,9.56621,1
09:32:49.550087335,09:32:49.000000000,sh603988,22.4019,22.4019,1
09:32:52.542499399,09:32:52.000000000,sh603988,11.0119,11.0119,1
09:32:55.536696446,09:32:55.000000000,sh603988,17.7263,17.7263,1
09:32:58.544627282,09:32:58.000000000,sh603988,-3.42734,-3.42734,1
09:33:01.192975193,09:33:01.000000000,sh603988,8.74615,8.74615,1
09:33:04.192284764,09:33:04.000000000,sh603988,12.4106,12.4106,1
09:33:07.199716369,09:33:07.000000000,sh603988,15.3001,15.3001,1
09:33:10.193552537,09:33:10.000000000,sh603988,12.7006,12.7006,1
09:33:13.191745246,09:33:13.000000000,sh603988,-12.6686,-12.6686,1
09:33:16.192692060,09:33:16.000000000,sh603988,22.7021,22.7021,1
09:33:19.200352913,09:33:19.000000000,sh603988,1.70128,1.70128,1
09:33:22.195191605,09:33:22.000000000,sh603988,-8.30561,-8.30561,1
09:33:25.194331346,09:33:25.000000000,sh603988,-15.1143,-15.1143,1
09:33:28.195883476,09:33:28.000000000,sh603988,-7.64743,-7.64743,1
09:33:31.203071407,09:33:31.000000000,sh603988,-14.5255,-14.5255,1
09:33:34.201215815,09:33:34.000000000,sh603988,-0.476284,-0.476284,1
09:33:37.199813627,09:33:37.000000000,sh603988,-0.140125,-0.140125,1
09:33:40.205089246,09:33:40.000000000,sh603988,-11.9207,-11.9207,1
09:33:43.202326242,09:33:43.000000000,sh603988,29.384,29.384,1
09:33:46.199577740,09:33:46.000000000,sh603988,40.5553,40.5553,1
09:33:49.200702317,09:33:49.000000000,sh603988,25.7937,25.7937,1
09:33:52.201088916,09:33:52.000000000,sh603988,23.7869,23.7869,1
09:33:55.196760576,09:33:55.000000000,sh603988,22.1277,22.1277,1
