,localtime,time,symbol,signal,bvol1,bid1,avol1,ask1,mid,direction,volume,exposure
0,09:29:59.999395593,09:30:00.000000000,sh600163,-5.52503,71226,8.0,20700,8.01,8.005,,0.0,0.0
1,09:30:03.070869627,09:30:02.000000000,sh600163,35.4947,172000,8.02,1500,8.04,8.03,,0.0,0.0
2,09:30:06.082116700,09:30:05.000000000,sh600163,38.4364,30600,8.02,1100,8.08,8.05,,0.0,0.0
3,09:30:09.115925641,09:30:08.000000000,sh600163,29.3034,15300,8.02,1000,8.05,8.035,,0.0,0.0
4,09:30:11.671584540,09:30:11.000000000,sh600163,-39.3394,457100,8.01,2900,8.02,8.015,,0.0,0.0
5,09:30:14.679403728,09:30:14.000000000,sh600163,-116.26299999999999,5000,8.06,38000,8.08,8.07,,0.0,0.0
6,09:30:17.677180043,09:30:17.000000000,sh600163,-123.51100000000001,69500,8.05,9100,8.06,8.055,,0.0,0.0
7,09:30:20.674645050,09:30:20.000000000,sh600163,-140.89700000000002,55000,8.06,54800,8.08,8.07,,0.0,0.0
8,09:30:23.668777747,09:30:23.000000000,sh600163,-128.20600000000002,112700,8.06,7100,8.08,8.07,,0.0,0.0
9,09:30:26.672796014,09:30:26.000000000,sh600163,-143.025,3200,8.08,84674,8.1,8.09,,0.0,0.0
10,09:30:29.665701330,09:30:29.000000000,sh600163,-146.498,8600,8.08,63000,8.09,8.085,,0.0,0.0
11,09:30:32.683876100,09:30:32.000000000,sh600163,-145.763,18400,8.09,46574,8.1,8.095,,0.0,0.0
12,09:30:35.677899245,09:30:35.000000000,sh600163,-152.809,1200,8.11,39000,8.15,8.13,,0.0,0.0
13,09:30:38.662848208,09:30:38.000000000,sh600163,-127.39200000000001,36326,8.09,2500,8.1,8.095,,0.0,0.0
14,09:30:41.674286704,09:30:41.000000000,sh600163,-118.258,17226,8.08,48800,8.09,8.085,,0.0,0.0
15,09:30:44.672974620,09:30:44.000000000,sh600163,-136.139,626,8.1,300,8.11,8.105,,0.0,0.0
16,09:30:47.671752420,09:30:47.000000000,sh600163,-123.821,31326,8.1,12400,8.13,8.115,,0.0,0.0
17,09:30:50.671327963,09:30:50.000000000,sh600163,-121.811,62526,8.1,37100,8.12,8.11,,0.0,0.0
18,09:30:53.680383834,09:30:53.000000000,sh600163,-153.576,339900,8.2,9100,8.21,8.205,,0.0,0.0
19,09:30:56.667981517,09:30:56.000000000,sh600163,-153.546,7500,8.15,7200,8.21,8.18,,0.0,0.0
20,09:30:59.665856320,09:30:59.000000000,sh600163,-157.034,24200,8.21,500,8.22,8.215,,0.0,0.0
21,09:31:02.673256832,09:31:02.000000000,sh600163,-161.007,14300,8.18,35100,8.21,8.195,,0.0,0.0
22,09:31:05.667303907,09:31:05.000000000,sh600163,-139.44,6600,8.18,1000,8.19,8.185,,0.0,0.0
23,09:31:08.673883805,09:31:08.000000000,sh600163,-167.546,4800,8.25,21800,8.26,8.255,,0.0,0.0
24,09:31:11.675771544,09:31:11.000000000,sh600163,-157.079,3800,8.21,54100,8.25,8.23,,0.0,0.0
25,09:31:14.666068989,09:31:14.000000000,sh600163,-156.214,3600,8.22,100,8.24,8.23,,0.0,0.0
26,09:31:17.669118638,09:31:17.000000000,sh600163,-139.638,24400,8.15,107500,8.2,8.175,,0.0,0.0
27,09:31:20.679777698,09:31:20.000000000,sh600163,-123.37200000000001,6000,8.16,19700,8.2,8.18,,0.0,0.0
28,09:31:23.666838631,09:31:23.000000000,sh600163,-126.395,76600,8.2,26400,8.21,8.205,,0.0,0.0
29,09:31:26.686526836,09:31:26.000000000,sh600163,-105.911,14600,8.15,600,8.19,8.17,,0.0,0.0
30,09:31:29.669920450,09:31:29.000000000,sh600163,-77.7741,25500,8.15,1800,8.16,8.155,,0.0,0.0
31,09:31:32.677918405,09:31:32.000000000,sh600163,-80.9359,100,8.16,1000,8.18,8.17,,0.0,0.0
32,09:31:35.678546025,09:31:35.000000000,sh600163,-50.9512,2000,8.15,200,8.16,8.155,,0.0,0.0
33,09:31:38.677109213,09:31:38.000000000,sh600163,-52.2736,26100,8.15,22100,8.16,8.155,,0.0,0.0
34,09:31:41.677719525,09:31:41.000000000,sh600163,-49.6227,60000,8.16,9700,8.19,8.175,,0.0,0.0
35,09:31:44.674828963,09:31:44.000000000,sh600163,-35.066,41200,8.16,1000,8.2,8.18,,0.0,0.0
36,09:31:47.674683747,09:31:47.000000000,sh600163,-36.9117,61800,8.2,10500,8.22,8.21,,0.0,0.0
37,09:31:50.666498599,09:31:50.000000000,sh600163,-27.1349,35400,8.2,1000,8.22,8.21,,0.0,0.0
38,09:31:53.670345873,09:31:53.000000000,sh600163,-29.9667,35600,8.16,68800,8.2,8.18,,0.0,0.0
39,09:31:56.673867647,09:31:56.000000000,sh600163,-19.7891,18900,8.2,500,8.21,8.205,,0.0,0.0
40,09:31:59.672721667,09:31:59.000000000,sh600163,-9.40496,85000,8.18,4700,8.19,8.185,,0.0,0.0
41,09:32:02.671593457,09:32:02.000000000,sh600163,-7.358639999999999,75000,8.18,4300,8.2,8.19,,0.0,0.0
42,09:32:05.670671261,09:32:05.000000000,sh600163,-1.8382900000000002,4300,8.19,100,8.2,8.195,,0.0,0.0
43,09:32:08.675777451,09:32:08.000000000,sh600163,-15.5226,300,8.19,35400,8.2,8.195,,0.0,0.0
44,09:32:11.675697178,09:32:11.000000000,sh600163,-11.0761,7000,8.22,15300,8.24,8.23,,0.0,0.0
45,09:32:14.685278461,09:32:14.000000000,sh600163,0.07513330000000001,2600,8.22,9000,8.24,8.23,,0.0,0.0
46,09:32:17.669322877,09:32:17.000000000,sh600163,-2.31798,5200,8.24,239600,8.25,8.245,,0.0,0.0
47,09:32:20.665190841,09:32:20.000000000,sh600163,9.7824,5300,8.24,182900,8.25,8.245,,0.0,0.0
48,09:32:23.664660188,09:32:23.000000000,sh600163,4.54168,1200,8.25,53500,8.26,8.255,,0.0,0.0
49,09:32:26.673609380,09:32:26.000000000,sh600163,17.5493,67200,8.25,55700,8.27,8.26,,0.0,0.0
50,09:32:29.680815855,09:32:29.000000000,sh600163,12.6595,7100,8.25,15500,8.26,8.255,,0.0,0.0
51,09:32:32.681142151,09:32:32.000000000,sh600163,8.7969,10500,8.25,18816,8.27,8.26,,0.0,0.0
52,09:32:35.670285963,09:32:35.000000000,sh600163,36.6463,48000,8.24,500,8.25,8.245,,0.0,0.0
53,09:32:38.664297796,09:32:38.000000000,sh600163,-5.80874,29500,8.28,316716,8.3,8.29,,0.0,0.0
54,09:32:41.678300571,09:32:41.000000000,sh600163,2.8370900000000003,1100,8.24,1000,8.26,8.25,,0.0,0.0
55,09:32:44.665063779,09:32:44.000000000,sh600163,-15.2088,800,8.25,88600,8.27,8.26,,0.0,0.0
56,09:32:47.664777244,09:32:47.000000000,sh600163,-4.663,3400,8.27,2000,8.29,8.28,,0.0,0.0
57,09:32:50.676521551,09:32:50.000000000,sh600163,4.03,1200,8.28,52200,8.29,8.285,,0.0,0.0
58,09:32:53.679144323,09:32:53.000000000,sh600163,8.86116,36100,8.27,9400,8.28,8.275,,0.0,0.0
59,09:32:56.667577067,09:32:56.000000000,sh600163,7.33047,86500,8.26,3500,8.27,8.265,,0.0,0.0
60,09:32:59.677739438,09:32:59.000000000,sh600163,-7.13625,2300,8.28,14100,8.29,8.285,,0.0,0.0
61,09:33:02.674155814,09:33:02.000000000,sh600163,5.508780000000001,4800,8.28,4000,8.29,8.285,,0.0,0.0
62,09:33:05.671796948,09:33:05.000000000,sh600163,15.0789,49800,8.28,200,8.29,8.285,,0.0,0.0
63,09:33:08.667096788,09:33:08.000000000,sh600163,-2.2814799999999997,2600,8.28,47500,8.29,8.285,,0.0,0.0
64,09:33:11.673217048,09:33:11.000000000,sh600163,6.28483,40100,8.28,13400,8.29,8.285,,0.0,0.0
65,09:33:14.667924559,09:33:14.000000000,sh600163,7.1704,188500,8.27,21000,8.28,8.275,,0.0,0.0
66,09:33:17.668082132,09:33:17.000000000,sh600163,12.4749,157400,8.27,1000,8.28,8.275,,0.0,0.0
67,09:33:20.677751968,09:33:20.000000000,sh600163,4.76131,29284,8.29,5100,8.3,8.295,,0.0,0.0
68,09:33:23.668773242,09:33:23.000000000,sh600163,13.9705,42500,8.28,6900,8.29,8.285,,0.0,0.0
69,09:33:26.670822758,09:33:26.000000000,sh600163,-4.597090000000001,40400,8.31,49400,8.32,8.315,,0.0,0.0
70,09:33:29.673199329,09:33:29.000000000,sh600163,-2.92897,42100,8.3,55900,8.33,8.315,,0.0,0.0
71,09:33:32.670337778,09:33:32.000000000,sh600163,-9.97288,300,8.3,40100,8.31,8.305,,0.0,0.0
72,09:33:35.676426733,09:33:35.000000000,sh600163,-12.6853,1300,8.31,32400,8.32,8.315,,0.0,0.0
73,09:33:38.667609455,09:33:38.000000000,sh600163,12.4427,165000,8.27,2400,8.29,8.28,,0.0,0.0
74,09:33:41.666190050,09:33:41.000000000,sh600163,-2.85759,96700,8.27,35500,8.3,8.285,,0.0,0.0
75,09:33:44.678301858,09:33:44.000000000,sh600163,-16.1314,1100,8.28,14500,8.29,8.285,,0.0,0.0
76,09:33:47.669571460,09:33:47.000000000,sh600163,-10.6242,1000,8.28,5900,8.29,8.285,,0.0,0.0
77,09:33:50.679602043,09:33:50.000000000,sh600163,-5.7121699999999995,15800,8.27,4100,8.29,8.28,,0.0,0.0
78,09:33:53.672881840,09:33:53.000000000,sh600163,-24.4581,100,8.29,51000,8.3,8.295,,0.0,0.0
79,09:33:56.680398301,09:33:56.000000000,sh600163,-7.75328,61200,8.26,7600,8.27,8.265,,0.0,0.0
80,09:33:59.670700304,09:33:59.000000000,sh600163,-13.5634,54000,8.26,29900,8.27,8.265,,0.0,0.0
81,09:34:02.663801877,09:34:02.000000000,sh600163,-25.6076,8800,8.26,74600,8.27,8.265,2.0,500.0,-500.0
82,09:34:05.667746295,09:34:05.000000000,sh600163,-35.4078,14000,8.25,54500,8.26,8.255,2.0,500.0,-1000.0
83,09:34:08.671210794,09:34:08.000000000,sh600163,-32.8634,3400,8.25,41300,8.26,8.255,2.0,500.0,-1500.0
84,09:34:11.671279144,09:34:11.000000000,sh600163,-34.1375,100,8.25,51100,8.26,8.255,2.0,100.0,-1600.0
85,09:34:14.669729302,09:34:14.000000000,sh600163,-12.8663,86700,8.25,4200,8.26,8.255,,0.0,-1600.0
86,09:34:17.669313054,09:34:17.000000000,sh600163,-13.7031,42500,8.2,4300,8.23,8.215,,0.0,-1600.0
87,09:34:20.676231880,09:34:20.000000000,sh600163,-18.2061,8300,8.2,7800,8.23,8.215,,0.0,-1600.0
88,09:34:23.667394580,09:34:23.000000000,sh600163,-11.0891,8000,8.2,12500,8.22,8.21,,0.0,-1600.0
89,09:34:26.666245944,09:34:26.000000000,sh600163,-7.095219999999999,6300,8.22,5000,8.23,8.225,,0.0,-1600.0
90,09:34:29.664096186,09:34:29.000000000,sh600163,-4.45515,200,8.2,5700,8.24,8.22,,0.0,-1600.0
91,09:34:32.664206204,09:34:32.000000000,sh600163,-3.2652200000000002,26100,8.23,17600,8.24,8.235,,0.0,-1600.0
92,09:34:35.678668783,09:34:35.000000000,sh600163,11.1069,1000,8.2,5900,8.21,8.205,,0.0,-1600.0
93,09:34:38.669167646,09:34:38.000000000,sh600163,26.3349,28500,8.19,800,8.21,8.2,1.0,800.0,-800.0
94,09:34:41.675447557,09:34:41.000000000,sh600163,13.0629,1500,8.21,2100,8.22,8.215,,0.0,-800.0
95,09:34:44.666776145,09:34:44.000000000,sh600163,22.0739,1200,8.2,11300,8.21,8.205,1.0,1300.0,500.0
96,09:34:47.666069956,09:34:47.000000000,sh600163,31.4197,26300,8.2,3400,8.21,8.205,1.0,0.0,500.0
97,09:34:50.672687022,09:34:50.000000000,sh600163,23.6121,5400,8.21,5100,8.22,8.215,1.0,500.0,1000.0
98,09:34:53.676997985,09:34:53.000000000,sh600163,23.12,41800,8.2,52300,8.21,8.205,1.0,500.0,1500.0
99,09:34:56.675878135,09:34:56.000000000,sh600163,27.4532,2100,8.2,100,8.21,8.205,1.0,100.0,1600.0
100,09:34:59.679603423,09:34:59.000000000,sh600163,22.7672,2000,8.2,5200,8.21,8.205,1.0,500.0,2100.0
101,09:35:02.664847633,09:35:02.000000000,sh600163,25.1688,7700,8.19,33900,8.2,8.195,,0.0,2100.0
102,09:35:05.666372041,09:35:05.000000000,sh600163,10.9397,12400,8.19,135200,8.2,8.195,,0.0,2100.0
103,09:35:08.679280792,09:35:08.000000000,sh600163,6.91245,6100,8.19,129900,8.2,8.195,,0.0,2100.0
104,09:35:11.666242398,09:35:11.000000000,sh600163,21.2518,38500,8.18,1700,8.19,8.185,,0.0,2100.0
105,09:35:14.664087746,09:35:14.000000000,sh600163,1.5427600000000001,1300,8.18,34500,8.19,8.185,,0.0,2100.0
106,09:35:17.674399775,09:35:17.000000000,sh600163,2.53308,35600,8.16,19100,8.17,8.165,,0.0,2100.0
107,09:35:20.671539313,09:35:20.000000000,sh600163,-2.2592,60100,8.15,2500,8.16,8.155,,0.0,2100.0
108,09:35:23.664127403,09:35:23.000000000,sh600163,-3.5004,50500,8.15,900,8.16,8.155,,0.0,2100.0
109,09:35:26.664588345,09:35:26.000000000,sh600163,-16.7438,33800,8.14,7400,8.15,8.145,2.0,2100.0,0.0
110,09:35:29.667150757,09:35:29.000000000,sh600163,-19.605,146000,8.2,14200,8.21,8.205,,0.0,0.0
111,09:35:32.671734669,09:35:32.000000000,sh600163,-26.5412,2000,8.21,27600,8.23,8.22,,0.0,0.0
112,09:35:35.671848995,09:35:35.000000000,sh600163,-20.0963,103600,8.2,14700,8.22,8.21,,0.0,0.0
113,09:35:38.673636151,09:35:38.000000000,sh600163,-17.0092,106600,8.2,4500,8.22,8.21,,0.0,0.0
114,09:35:41.676693940,09:35:41.000000000,sh600163,-9.03035,24300,8.21,6100,8.22,8.215,,0.0,0.0
115,09:35:44.672818218,09:35:44.000000000,sh600163,-20.6155,2100,8.24,27000,8.25,8.245,,0.0,0.0
116,09:35:47.672305337,09:35:47.000000000,sh600163,-10.1782,42900,8.23,10000,8.25,8.24,,0.0,0.0
117,09:35:50.673001777,09:35:50.000000000,sh600163,3.30341,15600,8.24,800,8.25,8.245,,0.0,0.0
118,09:35:53.674168746,09:35:53.000000000,sh600163,-6.5134099999999995,2400,8.25,3400,8.26,8.255,,0.0,0.0
119,09:35:56.673355781,09:35:56.000000000,sh600163,-1.8370400000000002,6800,8.24,9800,8.25,8.245,,0.0,0.0
120,09:35:59.676333335,09:35:59.000000000,sh600163,-8.07071,3500,8.24,33200,8.25,8.245,,0.0,0.0
121,09:36:02.668113869,09:36:02.000000000,sh600163,-23.1017,9100,8.24,143900,8.25,8.245,2.0,500.0,-500.0
122,09:36:05.674590312,09:36:05.000000000,sh600163,-18.3382,36700,8.23,7900,8.24,8.235,,0.0,-500.0
123,09:36:08.677581624,09:36:08.000000000,sh600163,-20.1241,7800,8.23,2500,8.24,8.235,,0.0,-500.0
124,09:36:11.672445730,09:36:11.000000000,sh600163,-24.9774,8000,8.22,20600,8.23,8.225,2.0,500.0,-1000.0
125,09:36:14.673856699,09:36:14.000000000,sh600163,-25.2073,3800,8.24,43900,8.25,8.245,2.0,100.0,-1100.0
126,09:36:17.676345473,09:36:17.000000000,sh600163,-0.6170869999999999,34400,8.21,18400,8.23,8.22,,0.0,-1100.0
127,09:36:20.663687547,09:36:20.000000000,sh600163,-10.6083,82800,8.2,23500,8.23,8.215,,0.0,-1100.0
128,09:36:23.675542395,09:36:23.000000000,sh600163,-29.9804,1000,8.21,48800,8.23,8.22,,0.0,-1100.0
129,09:36:26.674143166,09:36:26.000000000,sh600163,-17.2746,2400,8.19,78900,8.2,8.195,,0.0,-1100.0
130,09:36:29.666844159,09:36:29.000000000,sh600163,-15.0272,13100,8.19,69500,8.2,8.195,,0.0,-1100.0
131,09:36:32.679368993,09:36:32.000000000,sh600163,-15.1724,11500,8.19,62400,8.2,8.195,,0.0,-1100.0
132,09:36:35.670501806,09:36:35.000000000,sh600163,-10.4619,25500,8.18,27800,8.19,8.185,,0.0,-1100.0
133,09:36:38.669539425,09:36:38.000000000,sh600163,-3.9230099999999997,3300,8.17,1300,8.18,8.175,,0.0,-1100.0
134,09:36:41.666911630,09:36:41.000000000,sh600163,-15.3743,300,8.17,46600,8.18,8.175,,0.0,-1100.0
135,09:36:44.676500953,09:36:44.000000000,sh600163,-4.942069999999999,24800,8.16,8300,8.17,8.165,,0.0,-1100.0
