code,name
SH600405,动力源
SHT00018,上港集箱(退市)
SZ000015,PT中浩A(退市)
SZ000588,PT粤金曼(退市)
SZ000508,琼民源A(退市)
SZ002230,科大讯飞
SZ002253,川大智胜
SZ002279,久其软件
SZ002303,美盈森
SZ002327,富安娜
SZ002362,汉王科技
SZ002382,蓝帆医疗
SZ002418,康盛股份
SZ002437,誉衡药业
SZ002576,通达动力
SZ300013,新宁物流
SZ300047,天源迪科
SZ300058,蓝色光标
SZ002693,双成药业
SZ000996,中国中期
SZ002008,大族激光
SZ002014,永新股份
SZ002026,山东威达
SZ002033,丽江股份
SZ002038,双鹭药业
SZ002057,中钢天源
SH600728,佳都科技
SZ000682,东方电子
SZ000697,炼石航空
SZ000718,苏宁环球
SZ000722,湖南发展
SZ000731,四川美丰
SZ000766,通化金马
SZ000778,新兴铸管
SZ000787,*ST创智(退市)
SZ000792,盐湖股份
SZ000798,中水渔业
SZ000806,ST银河
SZ000812,陕西金叶
SZ000819,岳阳兴长
SZ000825,太钢不锈
SZ000830,鲁西化工
SZ000852,石化机械
SZ000862,银星能源
SZ000876,新希望
SZ000895,双汇发展
SZ000902,新洋丰
SZ002067,景兴纸业
SZ002081,金螳螂
SZ002087,新野纺织
SZ002095,生意宝
SZ002108,沧州明珠
SZ002119,康强电子
SZ002128,露天煤业
SZ002129,中环股份
SZ002135,东南网架
SZ002143,印纪退(退市)
SZ002153,石基信息
SZ002159,三特索道
SZ002191,劲嘉股份
SZ002198,嘉应制药
SZ002204,大连重工
SZ002212,天融信
SZ002232,启明信息
SZ002238,天威视讯
SZ002244,滨江集团
SZ002251,步步高
SH600062,华润双鹤
SH600070,浙江富润
SH600082,海泰发展
SH600098,广州发展
SH600107,美尔雅
SH600114,东睦股份
SH600131,国网信通
SH600139,ST西源
SH600736,苏州高新
SH600743,华远地产
SH600755,厦门国贸
SH600762,S*ST金荔(退市)
SH600768,宁波富邦
SH600775,南京熊猫
SH600798,宁波海运
SH600812,华北制药
SH600821,金开新能
SH600826,兰生股份
SH600834,申通地铁
SH600851,海欣股份
SH600859,王府井
SH600165,新日恒力
SH600171,上海贝岭
SH600182,SST佳通
SH600190,锦州港
SH600199,金种子酒
SH600208,新湖中宝
SH600215,长春经开
SH600237,铜峰电子
SH600251,冠农股份
SH600263,路桥建设(退市)
SH600273,嘉化能源
SH600281,华阳新材
SH600290,ST华仪
SH600298,安琪酵母
SZA12058,先导稀材
SZA12053,明源软件
SZA12289,未来国际
SZA10105,梦娜袜业
SZA12210,铜都阀门
SZ300820,英杰电气
SHA11281,乔丹体育
SZA12180,天珑移动
SHA12232,民生轮船
SZA12083,海四达
SZA12124,东方广视
SZA12099,万安智能
SZA12171,大地水刀
SZA12038,冠华股份
SZA12089,海诺尔(IPO终止)
SZA12103,爱创科技
SZA12119,利泰制药
SZA12118,小西牛
SZA14725,倍立达(IPO终止)
SZA14716,四三九九(IPO终止)
SZ002960,青鸟消防
SHA14661,聚信租赁(IPO终止)
SH601512,中新集团
SHA14412,知音传媒
SZA12093,海澜之家(已借壳)
SZA14387,丽晶光电(IPO终止)
SZA14162,七洲化工
SH600313,农发种业
SH600330,天通股份
SH600338,西藏珠峰
SH600351,亚宝药业
SH600359,新农开发
SH600367,红星发展
SH600378,昊华科技
SH600395,盘江股份
SZ000917,电广传媒
SZ000925,众合科技
SZ000929,兰州黄河
SZ000935,四川双马
SZ000952,广济药业
SZ000959,首钢股份
SZ000966,长源电力
SZ000971,ST高升
SZ000979,中弘退(退市)
SZ000988,华工科技
SZ002266,浙富控股
SZ002273,水晶光电
SZ002300,太阳电缆
SZ002305,南国置业
SZ002314,南山控股
SZ002353,杰瑞股份
SZ002373,千方科技
SZ002390,信邦制药
SZ002392,北京利尔
SZ002396,星网锐捷
SZ002405,四维图新
SZ002433,太安堂
SZ002436,兴森科技
SZ002438,江苏神通
SH600108,亚盛集团
SH600258,首旅酒店
SZ002655,共达电声
SZ300298,三诺生物
SH601107,四川成渝
SH601188,龙江交通
SH601116,三江购物
SH600017,日照港
SH600028,中国石化
SH600039,四川路桥
SH600590,泰豪科技
SH600598,北大荒
SH600605,汇通能源
SH600631,百联股份(退市)
SH600641,万业企业
SH600649,城投控股
SH600657,信达地产
SH600671,ST目药
SH600688,上海石化
SH600703,三安光电
SH600705,中航产融
SZ000042,中洲控股
SZ000050,深天马A
SZ000089,深圳机场
SZ000151,中成股份
SZ000402,金融街
SZ000413,东旭光电
SZ000418,小天鹅A(退市)
SZ000423,东阿阿胶
SZ000498,山东路桥
SZ000513,丽珠集团
SZ000525,ST红太阳
SZ000538,云南白药
SZ000544,中原环保
SZ000558,莱茵体育
SZ000569,长城股份(退市)
SZ000573,粤宏远A
SZ000592,平潭发展
SZ000597,东北制药
SZ000602,金马集团(退市)
SZ000625,长安汽车
SZ000632,三木集团
SZ000656,金科股份
SZ002667,鞍重股份
SZ002612,朗姿股份
SH601677,明泰铝业
SZ300262,巴安水务
SZ300270,中威电子
SZ002598,山东章鼓
SZ002597,金禾实业
SZ002583,海能达
SZ300251,光线传媒
SZ002602,世纪华通
SZ300243,瑞丰高材
SZ002603,以岭药业
SZ300248,新开普
SZ300250,初灵信息
SZ300246,宝莱特
SZ002607,中公教育
SZ002620,瑞和股份
SZ002573,清新环境
SH601566,九牧王
SZ002580,圣阳股份
SZ300215,电科院
SZ300257,开山股份
SZ300222,科大智能
SZ300217,东方电热
SZ300210,森远股份
SZ300208,青岛中程
SZ002578,闽发铝业
SZ300207,欣旺达
SZ002587,奥拓电子
SZ002589,瑞康医药
SZ300201,海伦哲
SZ300366,创意信息
SZ300236,上海新阳
SZ300233,金城医药
SZ002588,史丹利
SZ300232,洲明科技
SZ002592,ST八菱
SZ300228,富瑞特装
SZ300227,光韵达
SZ300231,银信科技
SH601567,三星医疗
SZ300240,飞力达
SZ002585,双星新材
SZ300226,上海钢联
SZ300249,依米康
SH601311,骆驼股份
SZ300381,溢多利
SZ002586,*ST围海
SZ002577,雷柏科技
SZ002560,通达股份
SH601258,庞大集团
SZ300212,易华录
SZ002584,西陇科学
SZ300206,理邦仪器
SH603006,联明股份
SZ300202,*ST聚龙
SZ002574,明牌珠宝
SZ002579,中京电子
SH603328,依顿电子
SZ002736,国信证券
SH601777,力帆科技
SZ300168,万达信息
SZ300158,振东制药
SZ300181,佐力药业
SZ300177,中海达
SZ300178,*ST腾邦
SZ002551,尚荣医疗
SZ300161,华中数控
SZ002548,金新农
SZ300353,东土科技
SZ002546,新联电子
SZ300182,捷成股份
SZ300184,力源信息
SH601799,星宇股份
SZ002541,鸿路钢构
SZ002507,涪陵榨菜
SZ002550,千红制药
SZ300190,维尔利
SZ300220,金运激光
SZ002415,海康威视
SZ002610,爱康科技
SZ300273,和佳医疗
SZ300261,雅本化学
SZ300269,ST联建
SH601908,京运通
SZ002167,东方锆业
SZ002218,拓日新能
SH601186,中国铁建
SZ002320,海峡股份
SZ002345,潮宏基
SH601688,华泰证券
SH601058,赛轮轮胎
SZ300281,金明精机
SZ300285,国瓷材料
SZ300350,华鹏飞
SZ002651,利君股份
SZ300324,旋极信息
SZ300276,三丰智能
SH603001,奥康国际
SZ002484,江海股份
SH600001,邯郸钢铁(退市)
SH600016,民生银行
SH600031,三一重工
SH600084,*ST中葡
SH600089,特变电工
SH600141,兴发集团
SH600162,香江控股
SH600176,中国巨石
SH600195,中牧股份
SH600218,全柴动力
SH600232,金鹰股份
SH600249,两面针
SH600269,赣粤高速
SH600283,钱江水利
SH600297,广汇汽车
SH600326,西藏天路
SH600361,华联综超
SH600376,首开股份
SH600458,时代新材
SH600477,杭萧钢构
SH600495,晋西车轴
SH600511,国药股份
SH600526,菲达环保
SH600565,迪马股份
SH600580,卧龙电驱
SH600593,*ST圣亚
SH600609,金杯汽车
SH600652,*ST游久
SH600730,中国高科
SH600738,丽尚国潮
SH600765,中航重机
SH600773,西藏城投
SH600803,新奥股份
SH600830,香溢融通
SH600846,同济科技
SH600863,内蒙华电
SH600881,亚泰集团
SH600985,淮北矿业
SH601009,南京银行
SH601179,中国西电
SH601666,平煤股份
SZ000020,深华发A
SZ000045,深纺织A
SZ000099,中信海直
SZ000407,胜利股份
SZ000502,*ST绿景
SZ000548,湖南投资
SZ000600,建投能源
SZ000623,吉林敖东
SZ000660,*ST南华(退市)
SZ000689,ST宏业(退市)
SZ000721,西安饮食
SZ000756,新华制药
SZ000783,长江证券
SZ000807,云铝股份
SZ000890,法尔胜
SZ000999,华润三九
SZ002021,ST中捷
SZ002048,宁波华翔
SZ002075,沙钢股份
SZ002099,海翔药业
SZ002124,天邦股份
SZ002140,东华科技
SZ002635,安洁科技
SZ300293,蓝英装备
SH601800,中国交建
SZ002642,荣联科技
SZ002668,ST奥马
SH600054,黄山旅游
SZ002631,德尔未来
SZ002636,金安国纪
SH601555,东吴证券
SH600446,金证股份
SH600873,梅花生物
SH600876,洛阳玻璃
SH600889,南京化纤
SH600969,郴电国际
SH600988,赤峰黄金
SH600995,文山电力
SH601007,金陵饭店
SH601268,*ST二重(退市)
SH601390,中国中铁
SH601607,上海医药
SH601872,招商轮船
SH601939,建设银行
SZ000001,平安银行
SZ000008,神州高铁
SZ000016,深康佳A
SZ001872,招商港口
SZ000028,国药一致
SH600461,洪城环境
SH600475,华光环能
SH600483,福能股份
SH600490,鹏欣资源
SH600500,中化国际
SH600505,西昌电力
SH600517,国网英大
SH600527,江南高纤
SH600535,天士力
SH600543,莫高股份
SH600551,时代出版
SH600560,金自天正
SH600575,淮河能源
SZ002634,棒杰股份
SZ000603,盛达资源
SZ002646,青青稞酒
SZ002645,华宏科技
SZ002639,雪人股份
SZ300279,和晶科技
SZ300286,安科瑞
SZ300288,朗玛信息
SH601928,凤凰传媒
SZ002673,西部证券
SZ300278,*ST华昌
SZ002632,道明光学
SZ002648,卫星化学
SZ002628,成都路桥
SZ002611,东方精工
SH603518,锦泓集团
SZ002616,长青集团
SZ300294,博雅生物
SH601012,隆基股份
SZ300275,梅安森
SZ002623,亚玛顿
SH601225,陕西煤业
SZ002626,金达威
SZ002596,海南瑞泽
SZ300254,仟源医药
SZ002627,三峡旅游
SZ300260,新莱应材
SZ300252,金信诺
SZ300266,兴源环境
SZ002617,露笑科技
SZ002641,永高股份
SH601636,旗滨集团
SZ300274,阳光电源
SH600584,长电科技
SZ300238,冠昊生物
SZ300093,金刚玻璃
SZ300321,同大股份
SZ002457,青龙管业
SZ300124,汇川技术
SZ300094,国联水产
SZ300096,易联众
SZ300090,盛运退(退市)
SH601000,唐山港
SZ002465,海格通信
SZ300173,福能东方
SZ300110,华仁药业
SZ002463,沪电股份
SZ300102,乾照光电
SZ300117,嘉寓股份
SZ300111,向日葵
SZ300109,新开源
SZ002450,康得退(退市)
SZ002451,摩恩电气
SZ300091,金通灵
SZ300107,建新股份
SZ300042,朗科科技
SZ300049,福瑞股份
SZ300059,东方财富
SZ002409,雅克科技
SZ002402,和而泰
SZ002403,爱仕达
SZ002369,卓翼科技
SZ002383,合众思壮
SZ002394,联发股份
SZ300055,万邦达
SZ300057,万顺新材
SZ300056,中创环保
SZ002361,神剑股份
SZ002367,康力电梯
SZ002368,太极股份
SZ002630,华西能源
SZ300277,海联讯
SZ002168,惠程科技
SZ002183,怡亚通
SZ002197,证通电子
SZ002211,宏达新材
SZ002227,奥特迅
SZ002271,东方雨虹
SZ300159,新研股份
SZ300191,潜能恒信
SZ300223,北京君正
SZ002515,金字火腿
SZ002516,旷达科技
SH603167,渤海轮渡
SZ002519,银河电子
SH600161,天坛生物
SH600177,雅戈尔
SH600191,*ST华资
SH600207,安彩高科
SH600222,太龙药业
SH600253,天方药业(退市)
SH600370,三房巷
SH600386,北巴传媒
SH600449,宁夏建材
SH600488,天药股份
